Component#2 [225791];0.0;0.0;-0.9238795042037964;0.3826833963394165
1.2m 5x10cm beam#1 [225794];0.0;0.0;0.0;1.0
terrain bay [241150];0.7071067094802856;-0.7071068286895752;-2.837897170593351e-07;2.8378968863762566e-07
600x2400 OSB [194133];0.4999997019767761;-0.5000002384185791;-0.5000002384185791;-0.49999991059303284
Underlay [194136];0.7071067094802856;-0.7071068286895752;-2.837897454810445e-07;2.8378968863762566e-07
1200x2400 OSB [189837];0.7071067094802856;-0.7071068286895752;-2.837897454810445e-07;2.8378968863762566e-07
1200x2400 OSB [189840];0.7071067094802856;-0.7071068286895752;-2.837897454810445e-07;2.8378968863762566e-07
1200x2400 OSB [189843];0.7071067094802856;-0.7071068286895752;-2.837897454810445e-07;2.8378968863762566e-07
1200x2400 OSB [189846];0.7071067094802856;-0.7071068286895752;-2.837897454810445e-07;2.8378968863762566e-07
1.1m 5x10cm beam [189849];0.7071065306663513;0.7071070075035095;-2.837895465290785e-07;-2.8378988758959167e-07
1.1m 5x10cm beam [189852];0.7071065306663513;0.7071070075035095;-2.837895465290785e-07;-2.8378988758959167e-07
1.1m 5x10cm beam [189855];0.7071065306663513;0.7071070075035095;-2.837895465290785e-07;-2.8378988758959167e-07
1.1m 5x10cm beam [189858];0.7071065306663513;0.7071070075035095;-2.837895465290785e-07;-2.8378988758959167e-07
1.1m 5x10cm beam [189861];0.7071065306663513;0.7071070075035095;-2.837895465290785e-07;-2.8378988758959167e-07
1.1m 5x10cm beam [189864];0.7071065306663513;0.7071070075035095;-2.837895465290785e-07;-2.8378988758959167e-07
1.1m 5x10cm beam [189867];0.7071065306663513;0.7071070075035095;-2.837895465290785e-07;-2.8378988758959167e-07
1.1m 5x10cm beam [189870];0.7071065306663513;0.7071070075035095;-2.837895465290785e-07;-2.8378988758959167e-07
2.4m 5x10cm beam [189873];-1.4901162614933128e-07;-1.0;0.0;4.013393208879279e-07
2.4m 5x10cm beam [189876];-1.4901162614933128e-07;-1.0;0.0;4.013393208879279e-07
2.4m 5x10cm beam [189879];-1.4901162614933128e-07;-1.0;0.0;4.013393208879279e-07
2.4m 5x10cm beam [189882];-1.4901162614933128e-07;-1.0;0.0;4.013393208879279e-07
2.4m 5x10cm beam [189885];-1.4901162614933128e-07;-1.0;0.0;4.013393208879279e-07
2.4m 5x10cm beam [189888];-1.4901162614933128e-07;-1.0;0.0;4.013393208879279e-07
2.4m 5x10cm beam [189891];-1.4901162614933128e-07;-1.0;0.0;4.013393208879279e-07
2.4m 5x10cm beam [189894];-1.4901162614933128e-07;-1.0;0.0;4.013393208879279e-07
600x1200 OSB [194139];0.5000001788139343;-0.5000002384185791;0.49999988079071045;-0.4999997913837433
600x1200 OSB [194142];0.5000001788139343;-0.5000002384185791;0.49999988079071045;-0.4999997913837433
600x2400 OSB [194145];0.4999997019767761;-0.5000002384185791;-0.5000002384185791;-0.49999991059303284
600x2400 OSB [194148];0.4999997019767761;-0.5000002384185791;-0.5000002384185791;-0.49999991059303284
600x2400 OSB [194151];0.4999997019767761;-0.5000002384185791;-0.5000002384185791;-0.49999991059303284
600x1200 OSB [194154];0.49999964237213135;0.4999999701976776;-0.5000004172325134;-0.5000000596046448
600x1200 OSB [194157];0.49999964237213135;0.4999999701976776;-0.5000004172325134;-0.5000000596046448
Hinge-180 [194160];-1.4901162614933128e-07;-1.0;7.450677408371575e-09;4.0133934930963733e-07
Hingeplate [190298];1.0;1.788139485370266e-07;-4.013393208879279e-07;7.450538408448892e-09
Hingeplate [190301];-2.2252531550748245e-07;-1.0;7.450706718259426e-09;4.013393208879279e-07
Group#9 [190304];-4.411389511460584e-07;-0.7071067094802856;-0.7071068286895752;1.2644053981603065e-07
Hinge-180 [194163];-1.4901162614933128e-07;-1.0;7.450677408371575e-09;4.0133934930963733e-07
Hingeplate [190298];1.0;1.788139485370266e-07;-4.013393208879279e-07;7.450538408448892e-09
Hingeplate [190301];-2.2252531550748245e-07;-1.0;7.450706718259426e-09;4.013393208879279e-07
Group#9 [190304];-4.411389511460584e-07;-0.7071067094802856;-0.7071068286895752;1.2644053981603065e-07
Hinge-180 [194166];-1.4901162614933128e-07;-1.0;7.450677408371575e-09;4.0133934930963733e-07
Hingeplate [190298];1.0;1.788139485370266e-07;-4.013393208879279e-07;7.450538408448892e-09
Hingeplate [190301];-2.2252531550748245e-07;-1.0;7.450706718259426e-09;4.013393208879279e-07
Group#9 [190304];-4.411389511460584e-07;-0.7071067094802856;-0.7071068286895752;1.2644053981603065e-07
Hinge-180 [194169];-1.4901162614933128e-07;-1.0;7.450677408371575e-09;4.0133934930963733e-07
Hingeplate [190298];1.0;1.788139485370266e-07;-4.013393208879279e-07;7.450538408448892e-09
Hingeplate [190301];-2.2252531550748245e-07;-1.0;7.450706718259426e-09;4.013393208879279e-07
Group#9 [190304];-4.411389511460584e-07;-0.7071067094802856;-0.7071068286895752;1.2644053981603065e-07
5x5x30 cm wall corner [194172];0.7071067094802856;-0.7071068286895752;-2.837897454810445e-07;2.8378968863762566e-07
5x5x30 cm wall corner [194175];0.7071067094802856;-0.7071068286895752;-2.837897454810445e-07;2.8378968863762566e-07
5x5x30 cm wall corner [194178];0.7071067094802856;-0.7071068286895752;-2.837897454810445e-07;2.8378968863762566e-07
5x5x30 cm wall corner [194181];0.7071067094802856;-0.7071068286895752;-2.837897454810445e-07;2.8378968863762566e-07
5x5x30 cm wall corner [194184];0.7071067094802856;-0.7071068286895752;-2.837897454810445e-07;2.8378968863762566e-07
5x5x30 cm wall corner [194187];0.7071067094802856;-0.7071068286895752;-2.837897454810445e-07;2.8378968863762566e-07
5x5x30 cm wall corner [194190];0.7071067094802856;-0.7071068286895752;-2.837897454810445e-07;2.8378968863762566e-07
5x5x30 cm wall corner [194193];0.7071067094802856;-0.7071068286895752;-2.837897454810445e-07;2.8378968863762566e-07
1200x600 OSB [194196];0.7071067690849304;-3.2070883548840357e-07;-2.6822092991096724e-07;-0.7071068286895752
300x600 OSB [194199];0.7071067690849304;-3.2070883548840357e-07;-2.6822092991096724e-07;-0.7071068286895752
1200x600 OSB [194202];-1.788139485370266e-07;0.7071067690849304;-0.7071068286895752;-4.1011583107319893e-07
300x600 OSB [194205];-1.788139485370266e-07;0.7071067690849304;-0.7071068286895752;-4.1011583107319893e-07
300x600 OSB [194208];0.7071067690849304;-3.2070883548840357e-07;-2.6822092991096724e-07;-0.7071068286895752
5x5x30 cm wall corner [194211];0.7071067094802856;-0.7071068286895752;-2.837897454810445e-07;2.8378968863762566e-07
